Stkcd [股票代码] - 以上海交易所、深圳证券交易所公布的证券代码为准
Accper [截止日期] - 指会计报表日，统一用10位字符表示，如1999-12-31。
Typrep [报表类型编码] - A：合并报表；B：母公司报表；在公司未公布合并报表，本数据库以单一报表数据添列。
Indcd [行业代码] - 证监会行业分类2012年版
F060101B [净利润现金净含量] - （经营活动产生的现金流量净额）/（净利润）；分母未公布或为零或小于零时，以NULL表示
F060101C [净利润现金净含量TTM] - （经营活动产生的现金流量净额）TTM/（净利润）TTM；分母未公布或为零或小于零时，以NULL表示；
F060201B [营业收入现金含量] - 销售商品、提供劳务收到的现金/营业收入；分母未公布或为零或小于零时，以NULL表示；
F060201C [营业收入现金含量TTM] - （销售商品、提供劳务收到的现金）TTM/（营业收入）TTM；分母未公布或为零或小于零时，以NULL表示；
F060301B [营业收入现金净含量] - （经营活动产生的现金流量净额）/（营业总收入）；分母未公布或为零或小于零时，以NULL表示
F060301C [营业收入现金净含量TTM] - （经营活动产生的现金流量净额）TTM/（营业总收入）TTM；分母未公布或为零或小于零时，以NULL表示
F060401B [营业利润现金净含量] - （经营活动产生的现金流量净额）/（营业利润）；分母未公布或为零或小于零时，以NULL表示
F060401C [营业利润现金净含量TTM] - （经营活动产生的现金流量净额）TTM/（营业利润）TTM；分母未公布或为零或小于零时，以NULL表示
F060901B [筹资活动债权人现金净流量] - 发行债券收到的现金+取得借款收到的现金+收到其他与筹资活动有关的现金—偿还债务支付的现金—支付其他与筹资活动有关的现金；各项目为空，零值代替；
F060901C [筹资活动债权人现金净流量TTM] - （发行债券收到的现金+取得借款收到的现金+收到其他与筹资活动有关的现金—偿还债务支付的现金—支付其他与筹资活动有关的现金）TTM；各项目为空，零值代替；
F061001B [筹资活动股东现金净流量] - 吸收权益性投资收到的现金—分配股利、利润或偿付利息支付的现金；各项目为空，零值代替；
F061001C [筹资活动股东现金净流量TTM] - （吸收权益性投资收到的现金—分配股利、利润或偿付利息支付的现金）TTM；各项目为空，零值代替；
F061201B [折旧摊销] - （固定资产折旧、油气资产折耗、生产性生物资产折旧+无形资产摊销+长期待摊费用摊销）；各项目为空，零值代替；
F061201C [折旧摊销TTM] - （固定资产折旧、油气资产折耗、生产性生物资产折旧+无形资产摊销+长期待摊费用摊销）TTM；各项目为空，零值代替；
F061301B [公司现金流1] - 净利润+财务费用—（资产总计）本期变动额+（货币资金）本期变动额—（负债合计）本期变动额—（吸收权益性投资收到的现金—分配股利、利润或偿付利息支付的现金）；A本期变动额=A本期期末值—A上年年末值；各项目为空，零值代替；
F061302B [公司现金流2] - 现金及现金等价物净增加额—筹资活动产生的现金流量净额；各项目为空，零值代替；
F061301C [公司现金流TTM1] - 净利润TTM+财务费用TTM-（资产总计）本期变动额TTM+（货币资金）本期变动额TTM—（负债合计）本期变动额TTM—（吸收权益性投资收到的现金—分配股利、利润或偿付利息支付的现金）TTM；A本期变动额=A本期期末值—A上年同期期末值；各项目为空，零值代替；
F061302C [公司现金流TTM2] - 现金及现金等价物净增加额TTM—筹资活动产生的现金流量净额TTM；各项目为空，零值代替；
F061401B [股权现金流1] - 净利润-（所有者权益合计）本期变动额-（吸收权益性投资收到的现金-分配股利、利润或偿付利息支付的现金）+（货币资金）本期变动额；A本期变动额=A本期期末值—A上年年末值；各项目为空，零值代替；
F061402B [股权现金流2] - （现金及现金等价物净增加额）-（吸收权益性投资收到的现金—分配股利、利润或偿付利息支付的现金）；
F061401C [股权现金流TTM1] - 净利润TTM-（所有者权益合计）本期变动额TTM-（吸收权益性投资收到的现金-分配股利、利润或偿付利息支付的现金）TTM+（货币资金）本期变动额TTM；A本期变动额=A本期期末值—A上年同期期末值；
F061402C [股权现金流TTM2] - （现金及现金等价物净增加额）TTM-（吸收权益性投资收到的现金-分配股利、利润或偿付利息支付的现金）TTM；
F061501B [公司自由现金流（原有）] - （净利润+所得税费用+财务费用）*（净利润）/（净利润+所得税费用）+固定资产折旧、油气资产折耗、生产性生物资产折旧+无形资产摊销+长期待摊费用摊销-筹资活动产生的现金流量净额-（流动资产合计-流动负债合计）本期变动额；
F061601B [股权自由现金流（原有）] - 净利润+固定资产折旧、油气资产折耗、生产性生物资产折旧+无形资产摊销+长期待摊费用摊销-筹资活动产生的现金流量净额-（流动资产合计—流动负债合计）本期变动额—偿还债务支付的现金+发行债券收到的现金；
F061701B [全部现金回收率] - （经营活动产生的现金流量净额）/（资产总计）期末余额；分母各项目为空，以零取代；分母合计值为零，结果以NULL表示；
F061801B [营运指数] - （经营活动产生的现金流量净额）/（净利润-投资收益-公允价值变动收益-营业外收入+营业外支出+固定资产折旧、油气资产折耗、生产性生物资产折旧+无形资产摊销+长期待摊费用摊销+递延所得税资产减少+递延所得税负债增加）；
F061901B [资本支出与折旧摊销比] - （购建固定资产、无形资产和其他长期资产支付的现金）/（固定资产折旧、油气资产折耗、生产性生物资产折旧+无形资产摊销+长期待摊费用摊销）；
F062001B [现金适合比率] - （经营活动产生的现金流量净额）/（购建固定资产、无形资产和其他长期资产支付的现金+分配股利、利润或偿付利息支付的现金+存货净额本期变动额）；资产负债表本期变动额=期末值—上年年末值；
F062101B [现金再投资比率] - （经营活动产生的现金流量净额）/（固定资产净额+持有至到期投资净额+长期债权投资净额+长期股权投资净额+流动资产合计-流动负债合计）
F062201B [现金满足投资比率] - （经营活动产生的现金流量净额）近5年之和/（购建固定资产、无形资产和其他长期资产支付的现金+分配股利、利润或偿付利息支付的现金+存货净额本期变动额）近5年之和；如果，不足五年则按实际年数计算；
F062301B [股权自由现金流] - （净利润+非现金支出）—营运资本追加—资本性支出—债务本金偿还+新发行债务；
F062401B [企业自由现金流] - （净利润+利息费用+非现金支出）—营运资本追加—资本性支出；
